iter	Passed	Remaining
1037	2200	8399
1038	2202	8396
1039	2204	8393
1040	2205	8389
1041	2207	8386
1042	2209	8383
1043	2211	8380
1044	2213	8376
1045	2215	8373
1046	2217	8371
1047	2220	8372
1048	2222	8370
1049	2225	8370
1050	2227	8367
1051	2229	8365
1052	2231	8362
1053	2232	8359
1054	2234	8356
1055	2236	8354
1056	2238	8351
1057	2240	8348
1058	2242	8345
1059	2244	8342
1060	2246	8339
1061	2248	8337
1062	2250	8335
1063	2252	8332
1064	2254	8329
1065	2256	8326
1066	2258	8324
1067	2260	8321
1068	2262	8318
1069	2264	8316
1070	2266	8313
1071	2268	8310
1072	2269	8307
1073	2271	8304
1074	2273	8302
1075	2275	8299
1076	2277	8294
1077	2279	8291
1078	2280	8288
1079	2282	8285
1080	2284	8282
1081	2286	8279
1082	2288	8277
1083	2290	8274
1084	2292	8272
1085	2294	8269
1086	2296	8267
1087	2298	8264
1088	2300	8261
1089	2302	8258
1090	2304	8255
1091	2305	8252
1092	2307	8249
1093	2309	8246
1094	2311	8244
1095	2313	8241
1096	2315	8238
1097	2317	8235
1098	2318	8231
1099	2320	8228
1100	2322	8226
1101	2324	8223
1102	2327	8223
1103	2329	8221
1104	2331	8219
1105	2333	8216
1106	2336	8215
1107	2338	8212
1108	2340	8210
1109	2342	8208
1110	2344	8206
1111	2346	8203
1112	2348	8200
1113	2350	8198
1114	2352	8195
1115	2354	8194
1116	2357	8194
1117	2359	8193
1118	2361	8190
1119	2363	8188
1120	2365	8185
1121	2367	8182
1122	2369	8180
1123	2371	8177
1124	2373	8174
1125	2375	8171
1126	2377	8168
1127	2379	8166
1128	2380	8163
1129	2382	8160
1130	2384	8158
1131	2386	8155
1132	2388	8152
1133	2390	8149
1134	2392	8147
1135	2394	8144
1136	2396	8140
1137	2398	8138
1138	2400	8135
1139	2402	8133
1140	2403	8130
1141	2405	8126
1142	2407	8123
1143	2409	8120
1144	2411	8118
1145	2413	8115
1146	2415	8112
1147	2417	8110
1148	2418	8107
1149	2420	8104
1150	2422	8102
1151	2424	8098
1152	2426	8096
1153	2428	8093
1154	2430	8091
1155	2432	8089
1156	2434	8087
1157	2436	8085
1158	2438	8082
1159	2440	8080
1160	2442	8077
1161	2444	8074
1162	2446	8071
1163	2448	8069
1164	2450	8066
1165	2452	8063
1166	2454	8060
1167	2456	8058
1168	2458	8055
1169	2460	8052
1170	2462	8050
1171	2464	8048
1172	2466	8045
1173	2467	8042
1174	2469	8040
1175	2471	8036
1176	2473	8033
1177	2475	8030
1178	2476	8027
1179	2479	8025
1180	2480	8022
1181	2482	8019
1182	2484	8017
1183	2486	8014
1184	2488	8011
1185	2490	8009
1186	2493	8009
1187	2495	8009
1188	2497	8006
1189	2499	8004
1190	2501	8001
1191	2503	7998
1192	2505	7995
1193	2507	7994
1194	2510	7992
1195	2511	7988
1196	2513	7986
1197	2515	7983
1198	2517	7980
1199	2519	7977
1200	2521	7974
1201	2523	7972
1202	2525	7970
1203	2526	7966
1204	2528	7963
1205	2530	7960
1206	2532	7959
1207	2534	7956
1208	2536	7952
1209	2538	7950
1210	2540	7947
1211	2542	7945
1212	2544	7942
1213	2545	7939
1214	2547	7937
1215	2549	7934
1216	2551	7932
1217	2553	7930
1218	2555	7927
1219	2557	7924
1220	2559	7921
1221	2561	7919
1222	2563	7917
1223	2565	7913
1224	2567	7910
1225	2569	7908
1226	2571	7906
1227	2573	7903
1228	2574	7900
1229	2576	7897
1230	2578	7894
1231	2580	7892
1232	2582	7889
1233	2584	7887
1234	2586	7884
1235	2588	7881
1236	2590	7879
1237	2591	7875
1238	2593	7872
1239	2595	7869
1240	2597	7866
1241	2599	7864
1242	2601	7862
1243	2603	7859
1244	2604	7856
1245	2606	7853
1246	2608	7851
1247	2610	7849
1248	2612	7846
1249	2614	7843
1250	2616	7840
1251	2618	7837
1252	2620	7836
1253	2622	7833
1254	2624	7830
1255	2625	7827
1256	2627	7824
1257	2631	7827
1258	2633	7824
1259	2635	7821
1260	2636	7818
1261	2638	7815
1262	2640	7813
1263	2643	7812
1264	2644	7808
1265	2646	7805
1266	2648	7803
1267	2650	7800
1268	2652	7798
1269	2654	7795
1270	2656	7792
1271	2658	7790
1272	2660	7787
1273	2661	7785
1274	2663	7782
1275	2665	7778
1276	2667	7776
1277	2668	7772
1278	2670	7768
1279	2671	7765
1280	2673	7763
1281	2675	7760
1282	2678	7758
1283	2680	7756
1284	2681	7753
1285	2683	7750
1286	2685	7747
1287	2687	7745
1288	2689	7742
1289	2690	7739
1290	2692	7736
1291	2694	7733
1292	2696	7731
1293	2698	7728
1294	2700	7726
1295	2701	7722
1296	2703	7719
1297	2706	7717
1298	2707	7715
1299	2709	7712
1300	2711	7709
1301	2713	7706
1302	2715	7704
1303	2717	7701
1304	2719	7699
1305	2721	7698
1306	2723	7696
1307	2726	7694
1308	2727	7691
1309	2729	7689
1310	2731	7686
1311	2733	7683
1312	2736	7683
1313	2738	7681
1314	2740	7679
1315	2742	7676
1316	2744	7673
1317	2746	7672
1318	2748	7669
1319	2750	7668
1320	2752	7665
1321	2754	7664
1322	2756	7661
1323	2758	7658
1324	2760	7656
1325	2762	7653
1326	2764	7651
1327	2766	7649
1328	2768	7647
1329	2770	7644
1330	2772	7641
1331	2774	7639
1332	2776	7636
1333	2777	7634
1334	2779	7631
1335	2781	7628
1336	2783	7626
1337	2785	7624
1338	2787	7620
1339	2788	7617
1340	2790	7614
1341	2791	7610
1342	2793	7605
1343	2795	7603
1344	2796	7600
1345	2798	7597
1346	2800	7595
1347	2802	7592
1348	2804	7589
1349	2806	7587
1350	2808	7584
1351	2809	7580
1352	2811	7578
1353	2813	7575
1354	2815	7572
1355	2816	7569
1356	2818	7567
1357	2820	7564
1358	2822	7562
1359	2824	7559
1360	2826	7556
1361	2827	7553
1362	2829	7550
1363	2831	7547
1364	2833	7544
1365	2835	7542
1366	2836	7539
1367	2838	7536
1368	2840	7534
1369	2842	7531
1370	2844	7528
1371	2845	7525
1372	2847	7522
1373	2849	7519
1374	2851	7517
1375	2853	7515
1376	2855	7512
1377	2857	7510
1378	2859	7508
1379	2861	7506
1380	2863	7503
1381	2865	7500
1382	2866	7497
1383	2868	7495
1384	2870	7493
1385	2872	7489
1386	2874	7487
1387	2875	7484
1388	2877	7481
1389	2879	7479
1390	2881	7476
1391	2883	7473
1392	2885	7471
1393	2887	7468
1394	2889	7466
1395	2891	7464
1396	2893	7461
1397	2894	7458
1398	2896	7455
1399	2898	7453
1400	2900	7451
1401	2902	7448
1402	2904	7446
1403	2906	7445
1404	2909	7444
1405	2911	7441
1406	2912	7438
1407	2914	7436
1408	2916	7433
1409	2918	7431
1410	2920	7429
1411	2922	7426
1412	2924	7423
1413	2926	7421
1414	2928	7419
1415	2930	7417
1416	2932	7414
1417	2934	7411
1418	2936	7410
1419	2938	7408
1420	2940	7405
1421	2942	7402
1422	2943	7400
1423	2945	7397
1424	2947	7395
1425	2949	7393
1426	2951	7390
1427	2953	7388
1428	2955	7385
1429	2957	7383
1430	2959	7382
1431	2961	7380
1432	2963	7377
1433	2966	7375
1434	2967	7373
1435	2969	7370
1436	2971	7368
1437	2973	7365
1438	2975	7363
1439	2977	7361
1440	2979	7358
1441	2981	7356
1442	2983	7353
1443	2985	7352
1444	2987	7349
1445	2989	7347
1446	2991	7344
1447	2993	7342
1448	2995	7340
1449	2997	7338
